region,prid,prname,date,icu_unvac,icu_part_vac,icu_full_vac,nonicu_unvac,nonicu_part_vac,nonicu_full_vac
prairie,47,Saskatchewan,2022-01-28,90,8,14,143,12,28
north,61,Northwest Territories,2022-01-28,89,9,10,138,14,31
north,62,Nunavut,2022-01-28,89,8,9,141,16,27
none,99,Repatriated travellers,2022-01-28,93,7,12,136,14,25
prairie,46,Manitoba,2022-01-30,94,8,7,115,10,28
north,62,Nunavut,2022-01-30,110,11,11,120,10,38
central,35,Ontario,2022-01-31,77,3,18,100,9,32
none,99,Repatriated travellers,2022-01-31,77,5,22,92,8,36
atlantic,11,Prince Edward Island,2022-02-01,79,4,26,106,11,37
north,60,Yukon,2022-02-01,79,6,22,116,11,31
atlantic,10,Newfoundland and Labrador,2022-02-02,56,3,16,81,14,55
central,24,Quebec,2022-02-02,62,5,16,87,17,78
prairie,46,Manitoba,2022-02-03,62,3,10,89,9,47
prairie,47,Saskatchewan,2022-02-03,62,2,10,99,6,45
prairie,48,Alberta,2022-02-03,65,3,14,104,5,59
west,59,British Columbia,2022-02-03,60,2,17,98,10,67
atlantic,12,Nova Scotia,2022-02-05,76,5,33,118,9,85
atlantic,13,New Brunswick,2022-02-05,74,7,25,131,7,73
central,35,Ontario,2022-02-05,84,3,39,141,13,113
prairie,46,Manitoba,2022-02-05,88,4,37,142,11,118
west,59,British Columbia,2022-02-05,75,5,33,121,9,89
atlantic,11,Prince Edward Island,2022-02-06,73,2,38,155,10,191
prairie,48,Alberta,2022-02-06,94,8,64,287,64,736
none,99,Repatriated travellers,2022-02-07,232,18,281,749,187,2103
prairie,48,Alberta,2022-02-08,183,17,233,632,141,1649
